Ticker,MAE,RMSE,MAPE,Directional Accuracy,Sharpe Ratio
AAPL,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
BAC,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
CVX,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
GS,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
IWM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
JNJ,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
JPM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
MSFT,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
NVDA,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
PFE,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
QQQ,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
SLB,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
SPY,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
UNH,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
XOM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM,CNN+LSTM
